,도시,시간,온도,체감온도,습도
452,Asia/Shanghai,1651780800,295.31,294.52,36
453,Asia/Shanghai,1651784400,294.86,294.0,35
454,Asia/Shanghai,1651788000,292.95,291.85,33
455,Asia/Shanghai,1651791600,292.95,291.82,32
456,Asia/Shanghai,1651795200,292.8,291.6,30
457,Asia/Shanghai,1651798800,291.86,290.75,37
458,Asia/Shanghai,1651802400,291.76,290.64,37
459,Asia/Shanghai,1651806000,291.76,290.72,40
460,Asia/Shanghai,1651809600,291.32,290.29,42
461,Asia/Shanghai,1651813200,291.22,290.26,45
462,Asia/Shanghai,1651816800,291.59,290.53,40
463,Asia/Shanghai,1651820400,291.99,290.82,34
464,Asia/Shanghai,1651824000,291.13,289.92,36
465,Asia/Shanghai,1651827600,289.91,288.71,41
466,Asia/Shanghai,1651831200,288.99,287.7,41
467,Asia/Shanghai,1651834800,287.44,286.05,43
468,Asia/Shanghai,1651838400,285.54,284.09,48
469,Asia/Shanghai,1651842000,284.57,283.07,50
470,Asia/Shanghai,1651845600,283.82,282.3,52
471,Asia/Shanghai,1651849200,283.11,282.08,55
472,Asia/Shanghai,1651852800,282.56,281.46,57
473,Asia/Shanghai,1651856400,282.02,280.58,60
474,Asia/Shanghai,1651860000,281.43,280.05,63
475,Asia/Shanghai,1651863600,281.22,279.91,64
476,Asia/Shanghai,1651867200,281.03,279.38,64
477,Asia/Shanghai,1651870800,281.03,279.2,65
478,Asia/Shanghai,1651874400,282.12,280.66,65
479,Asia/Shanghai,1651878000,285.48,284.13,52
480,Etc/GMT+8,1651449600,284.35,283.82,88
481,Etc/GMT+8,1651453200,284.39,283.87,88
482,Etc/GMT+8,1651456800,284.34,283.81,88
483,Etc/GMT+8,1651460400,284.36,283.86,89
484,Etc/GMT+8,1651464000,284.41,283.89,88
485,Etc/GMT+8,1651467600,284.47,283.93,87
486,Etc/GMT+8,1651471200,284.31,283.78,88
487,Etc/GMT+8,1651474800,284.28,283.75,88
488,Etc/GMT+8,1651478400,284.32,283.79,88
489,Etc/GMT+8,1651482000,284.4,283.88,88
490,Etc/GMT+8,1651485600,284.41,283.92,89
491,Etc/GMT+8,1651489200,284.43,283.96,90
492,Etc/GMT+8,1651492800,284.23,283.77,91
493,Etc/GMT+8,1651496400,284.2,283.74,91
494,Etc/GMT+8,1651500000,284.34,283.89,91
495,Etc/GMT+8,1651503600,284.44,284.05,93
496,Etc/GMT+8,1651507200,284.54,284.19,94
497,Etc/GMT+8,1651510800,284.74,284.46,96
498,Etc/GMT+8,1651514400,284.8,284.34,89
499,Etc/GMT+8,1651518000,284.48,284.04,91
500,Etc/GMT+8,1651521600,284.42,283.98,91
